,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg,pmc_actual_vs_model,pmc_actual_vs_avg
137,2072.0,-0.2092620905451592,-0.2092620905451592,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
138,2073.0,-0.15802469135802477,-0.15802469135802477,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
139,2074.0,-0.432503862592152,-0.11893033075299098,-0.31357353183916103,"PearsonRResult(statistic=-0.3479412311610345, pvalue=0.2037897652104416)","PearsonRResult(statistic=nan, pvalue=nan)"
140,2075.0,-0.2147207619941245,-0.07023117277714142,-0.14448958921698307,"PearsonRResult(statistic=-0.03422915234798007, pvalue=0.9036100278785296)","PearsonRResult(statistic=nan, pvalue=nan)"
141,2077.0,-0.3869667658730156,-0.3869667658730156,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
142,2080.0,-16.823282877604168,-16.823282877604168,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
143,2083.0,-0.9319941642907372,-0.9171626984126984,-0.014831465878038852,"PearsonRResult(statistic=0.47226134184499097, pvalue=0.07548223203165022)","PearsonRResult(statistic=nan, pvalue=nan)"
144,2085.0,-0.2292392370030547,-1.1655923473142025,0.9363531103111478,"PearsonRResult(statistic=0.2788246390131822, pvalue=0.2956760171378521)","PearsonRResult(statistic=nan, pvalue=nan)"
145,2086.0,-29.940597992805127,-220.27369183885827,190.33309384605315,"PearsonRResult(statistic=0.12252922221102043, pvalue=0.6635408210770485)","PearsonRResult(statistic=nan, pvalue=nan)"
146,2090.0,-3.159828515027673e+32,-7.098446879634631e+31,-2.44998382706421e+32,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
147,2091.0,-0.4427594711122149,-1.7855259268949744,1.3427664557827594,"PearsonRResult(statistic=0.3515181870374544, pvalue=0.23888566085154217)","PearsonRResult(statistic=nan, pvalue=nan)"
148,2093.0,-0.2134673081547538,-0.1174590755010334,-0.09600823265372038,"PearsonRResult(statistic=-0.21047700826337, pvalue=0.4339557258980383)","PearsonRResult(statistic=nan, pvalue=nan)"
149,2097.0,0.03330256224659478,-0.26041666666666674,0.2937192289132615,"PearsonRResult(statistic=0.48289146263738, pvalue=0.1324448737272452)","PearsonRResult(statistic=nan, pvalue=nan)"
